Roster

  System.X
  CardiacOutput.CO
  CardiacOutput.RAP
  CardiacOutput.MCFP
  CardiacOutput.Slope
  FluidVolumes.AP
  FluidVolumes.BV
  FluidVolumes.ECFV
  FluidVolumes.RPP
  FluidVolumes.UO
  FlowAutoregulation.TPR
  BaroreceptorReflex.AFFNA
  BaroreceptorReflex.SYMEnd
  CardiacOutput.V0
  CardiacOutput.slope_a
  CardiacOutput.slope_b
  CardiacOutput.SlopeB
  CardiacOutput.HSBasic
  FluidVolumes.RDrop
  FluidVolumes.Intake
  FlowAutoregulation.KAUTO
  BaroreceptorReflex.CDROP
  BaroreceptorReflex.KBARO
  CardiacOutput.StarlingA
  CardiacOutput.Starlingm
  CardiacOutput.StarlingS
  FluidVolumes.FluidA
  FluidVolumes.Fluidm
  FluidVolumes.FluidS
  FluidVolumes.Urinem
  FlowAutoregulation.AutoA
  FlowAutoregulation.Autom
  FlowAutoregulation.AutoS
  BaroreceptorReflex.AffNaA
  BaroreceptorReflex.AffNam
  BaroreceptorReflex.AffNaS
  BaroreceptorReflex.SympsA
  BaroreceptorReflex.Sympsm
  BaroreceptorReflex.SympsS
  BaroreceptorReflex.SympsB
  CardiacOutput.RVRa
  CardiacOutput.RVRb
0.00,8403.073,0.620,13.134,0.006432,143.9,5852.2,15000.0,143.928,3.951,0.017,1.763,0.835,3810,0.3541,0.6474,0.0068,1,0.0,1.052,0.00049,0.0,0.00077,13189.0,1.8,3.3,7797.233,3.632,11075.481,0.052,0.045,10.942,4408.966,1.916,3.835,44.304,1.032,3.725,0.586,0.818,0.03204,0.00094,
28800.00,4349.208,-2.149,5.292,0.006994,102.9,4566.9,12183.4,102.854,1.104,0.024,0.799,1.066,3810,0.3541,0.6474,0.0068,1,0.0,1.052,0.00049,0.0,0.00077,13189.0,1.8,3.3,7797.233,3.632,11075.481,0.052,0.045,10.942,4408.966,1.916,3.835,44.304,1.032,3.725,0.586,0.818,0.03204,0.00094,
28805.00,3055.002,-2.490,3.782,0.006820,105.1,4364.8,11833.2,105.111,1.301,0.034,0.897,0.994,3810,0.3541,0.6474,0.0068,1,0.0,1.052,0.00049,0.0,0.00077,13189.0,1.8,3.3,7797.233,3.632,11075.481,0.052,0.045,10.942,4408.966,1.916,3.835,44.304,1.032,3.725,0.586,0.818,0.03204,0.00094,
28810.00,2690.282,-2.929,2.741,0.007989,96.0,4153.4,11481.9,95.969,0.557,0.036,0.497,1.488,3810,0.3541,0.6474,0.0068,1,0.0,1.052,0.00049,0.0,0.00077,13189.0,1.8,3.3,7797.233,3.632,11075.481,0.052,0.045,10.942,4408.966,1.916,3.835,44.304,1.032,3.725,0.586,0.818,0.03204,0.00094,
28815.00,1842.568,-3.257,1.119,0.008890,81.0,3936.2,11134.4,80.998,0.028,0.044,0.069,1.850,3810,0.3541,0.6474,0.0068,1,0.0,1.052,0.00049,0.0,0.00077,13189.0,1.8,3.3,7797.233,3.632,11075.481,0.052,0.045,10.942,4408.966,1.916,3.835,44.304,1.032,3.725,0.586,0.818,0.03204,0.00094,
28820.00,1098.160,-3.451,-0.860,0.008890,48.2,3713.6,10789.5,48.157,0.000,0.044,0.000,1.851,3810,0.3541,0.6474,0.0068,1,0.0,1.052,0.00049,0.0,0.00077,13189.0,1.8,3.3,7797.233,3.632,11075.481,0.052,0.045,10.942,4408.966,1.916,3.835,44.304,1.032,3.725,0.586,0.818,0.03204,0.00094,
0.00,10183.230,1.241,16.510,0.006908,174.4,5836.9,15000.0,174.419,4.041,0.017,1.976,1.101,3447,0.3542,0.6379,0.0067,1,0.0,1.164,0.00047,0.0,0.00066,12554.5,2.0,3.5,7741.057,3.609,10997.816,0.047,0.047,10.908,5695.085,1.996,3.774,33.734,0.999,3.587,0.653,1.083,0.03336,0.00093,
28800.00,5417.920,-1.407,7.164,0.007054,108.8,4462.5,11978.5,108.754,1.166,0.020,1.301,1.160,3447,0.3542,0.6379,0.0067,1,0.0,1.164,0.00047,0.0,0.00066,12554.5,2.0,3.5,7741.057,3.609,10997.816,0.047,0.047,10.908,5695.085,1.996,3.774,33.734,0.999,3.587,0.653,1.083,0.03336,0.00093,
28805.00,4394.834,-1.827,5.817,0.007165,104.5,4258.7,11628.5,104.548,0.957,0.024,1.101,1.216,3447,0.3542,0.6379,0.0067,1,0.0,1.164,0.00047,0.0,0.00066,12554.5,2.0,3.5,7741.057,3.609,10997.816,0.047,0.047,10.908,5695.085,1.996,3.774,33.734,0.999,3.587,0.653,1.083,0.03336,0.00093,
28810.00,3586.119,-2.217,4.492,0.007484,100.5,4047.1,11279.6,100.457,0.718,0.028,0.873,1.343,3447,0.3542,0.6379,0.0067,1,0.0,1.164,0.00047,0.0,0.00066,12554.5,2.0,3.5,7741.057,3.609,10997.816,0.047,0.047,10.908,5695.085,1.996,3.774,33.734,0.999,3.587,0.653,1.083,0.03336,0.00093,
28815.00,2799.367,-2.650,3.171,0.008311,95.4,3828.5,10931.8,95.448,0.431,0.034,0.577,1.691,3447,0.3542,0.6379,0.0067,1,0.0,1.164,0.00047,0.0,0.00066,12554.5,2.0,3.5,7741.057,3.609,10997.816,0.047,0.047,10.908,5695.085,1.996,3.774,33.734,0.999,3.587,0.653,1.083,0.03336,0.00093,
28820.00,2084.965,-2.973,1.452,0.009240,74.4,3604.0,10585.5,74.413,0.000,0.036,0.002,2.082,3447,0.3542,0.6379,0.0067,1,0.0,1.164,0.00047,0.0,0.00066,12554.5,2.0,3.5,7741.057,3.609,10997.816,0.047,0.047,10.908,5695.085,1.996,3.774,33.734,0.999,3.587,0.653,1.083,0.03336,0.00093,
0.00,10575.523,4.816,21.687,0.007960,181.1,5923.1,15000.0,181.138,5.060,0.017,1.838,0.967,3199,0.3453,0.6767,0.0079,1,0.0,1.528,0.00049,0.0,0.00073,12548.4,1.9,3.5,8009.081,3.653,11272.847,0.048,0.051,11.539,6205.307,1.870,4.062,44.559,0.924,3.683,0.576,0.955,0.03878,0.00093,
28800.00,5685.080,-1.315,8.682,0.008462,119.8,4224.7,11617.6,119.764,1.671,0.021,0.806,1.162,3199,0.3453,0.6767,0.0079,1,0.0,1.528,0.00049,0.0,0.00073,12548.4,1.9,3.5,8009.081,3.653,11272.847,0.048,0.051,11.539,6205.307,1.870,4.062,44.559,0.924,3.683,0.576,0.955,0.03878,0.00093,
28805.00,4718.426,-1.881,7.066,0.008811,117.0,4000.7,11266.9,116.953,1.397,0.025,0.679,1.280,3199,0.3453,0.6767,0.0079,1,0.0,1.528,0.00049,0.0,0.00073,12548.4,1.9,3.5,8009.081,3.653,11272.847,0.048,0.051,11.539,6205.307,1.870,4.062,44.559,0.924,3.683,0.576,0.955,0.03878,0.00093,
28810.00,3832.005,-2.426,5.511,0.009640,112.2,3770.6,10917.6,112.151,0.982,0.029,0.468,1.585,3199,0.3453,0.6767,0.0079,1,0.0,1.528,0.00049,0.0,0.00073,12548.4,1.9,3.5,8009.081,3.653,11272.847,0.048,0.051,11.539,6205.307,1.870,4.062,44.559,0.924,3.683,0.576,0.955,0.03878,0.00093,
28815.00,2979.749,-2.797,3.520,0.010439,91.1,3536.0,10570.3,91.119,0.286,0.031,0.012,1.879,3199,0.3453,0.6767,0.0079,1,0.0,1.528,0.00049,0.0,0.00073,12548.4,1.9,3.5,8009.081,3.653,11272.847,0.048,0.051,11.539,6205.307,1.870,4.062,44.559,0.924,3.683,0.576,0.955,0.03878,0.00093,
28820.00,1946.105,-3.069,1.050,0.010439,59.4,3299.4,10226.5,59.365,0.000,0.031,0.000,1.879,3199,0.3453,0.6767,0.0079,1,0.0,1.528,0.00049,0.0,0.00073,12548.4,1.9,3.5,8009.081,3.653,11272.847,0.048,0.051,11.539,6205.307,1.870,4.062,44.559,0.924,3.683,0.576,0.955,0.03878,0.00093,
0.00,10784.114,0.581,16.542,0.006501,184.7,5863.5,15000.0,184.711,3.786,0.017,2.217,1.324,3319,0.3483,0.6662,0.0058,1,0.0,0.866,0.00045,0.0,0.00083,12336.2,1.8,3.2,7624.156,3.635,10773.792,0.048,0.043,12.167,5492.161,2.243,3.971,40.566,1.035,3.626,0.728,1.306,0.03218,0.00093,
28800.00,5100.203,-2.114,6.075,0.006830,107.6,4208.7,11410.8,107.574,0.887,0.021,1.093,1.498,3319,0.3483,0.6662,0.0058,1,0.0,0.866,0.00045,0.0,0.00083,12336.2,1.8,3.2,7624.156,3.635,10773.792,0.048,0.043,12.167,5492.161,2.243,3.971,40.566,1.035,3.626,0.728,1.306,0.03218,0.00093,
28805.00,3952.198,-2.466,4.668,0.006917,106.5,3994.1,11060.7,106.538,0.830,0.027,1.035,1.531,3319,0.3483,0.6662,0.0058,1,0.0,0.866,0.00045,0.0,0.00083,12336.2,1.8,3.2,7624.156,3.635,10773.792,0.048,0.043,12.167,5492.161,2.243,3.971,40.566,1.035,3.626,0.728,1.306,0.03218,0.00093,
28810.00,3298.147,-2.831,3.480,0.007694,100.1,3771.5,10710.9,100.110,0.502,0.030,0.663,1.910,3319,0.3483,0.6662,0.0058,1,0.0,0.866,0.00045,0.0,0.00083,12336.2,1.8,3.2,7624.156,3.635,10773.792,0.048,0.043,12.167,5492.161,2.243,3.971,40.566,1.035,3.626,0.728,1.306,0.03218,0.00093,
28815.00,2523.522,-3.126,1.911,0.008540,83.3,3543.0,10362.7,83.301,0.068,0.033,0.052,2.340,3319,0.3483,0.6662,0.0058,1,0.0,0.866,0.00045,0.0,0.00083,12336.2,1.8,3.2,7624.156,3.635,10773.792,0.048,0.043,12.167,5492.161,2.243,3.971,40.566,1.035,3.626,0.728,1.306,0.03218,0.00093,
28820.00,1630.335,-3.327,-0.077,0.008540,53.7,3310.1,10016.7,53.697,0.000,0.033,0.000,2.340,3319,0.3483,0.6662,0.0058,1,0.0,0.866,0.00045,0.0,0.00083,12336.2,1.8,3.2,7624.156,3.635,10773.792,0.048,0.043,12.167,5492.161,2.243,3.971,40.566,1.035,3.626,0.728,1.306,0.03218,0.00093,
0.00,8125.305,4.993,17.392,0.006738,139.2,5767.7,15000.0,139.170,3.589,0.017,2.155,0.787,3187,0.3504,0.6612,0.0072,1,0.0,0.633,0.00049,0.0,0.00070,12958.4,1.9,3.1,7556.427,3.541,10776.547,0.048,0.037,11.957,6006.085,2.203,4.072,31.146,0.990,3.699,0.393,0.785,0.03428,0.00094,
28800.00,6140.116,0.454,9.463,0.006749,93.6,4588.5,12187.8,93.556,0.818,0.015,1.771,0.788,3187,0.3504,0.6612,0.0072,1,0.0,0.633,0.00049,0.0,0.00070,12958.4,1.9,3.1,7556.427,3.541,10776.547,0.048,0.037,11.957,6006.085,2.203,4.072,31.146,0.990,3.699,0.393,0.785,0.03428,0.00094,
28805.00,5595.834,-0.106,8.192,0.006749,85.3,4400.2,11836.9,85.283,0.319,0.015,1.404,0.794,3187,0.3504,0.6612,0.0072,1,0.0,0.633,0.00049,0.0,0.00070,12958.4,1.9,3.1,7556.427,3.541,10776.547,0.048,0.037,11.957,6006.085,2.203,4.072,31.146,0.990,3.699,0.393,0.785,0.03428,0.00094,
28810.00,5052.140,-0.671,6.921,0.006800,80.0,4204.2,11488.4,79.977,0.000,0.016,1.053,0.810,3187,0.3504,0.6612,0.0072,1,0.0,0.633,0.00049,0.0,0.00070,12958.4,1.9,3.1,7556.427,3.541,10776.547,0.048,0.037,11.957,6006.085,2.203,4.072,31.146,0.990,3.699,0.393,0.785,0.03428,0.00094,
28815.00,4311.902,-1.233,5.569,0.006839,78.0,4000.8,11141.6,77.957,0.000,0.018,0.903,0.828,3187,0.3504,0.6612,0.0072,1,0.0,0.633,0.00049,0.0,0.00070,12958.4,1.9,3.1,7556.427,3.541,10776.547,0.048,0.037,11.957,6006.085,2.203,4.072,31.146,0.990,3.699,0.393,0.785,0.03428,0.00094,
28820.00,3635.372,-1.810,4.251,0.007049,74.8,3789.5,10794.8,74.795,0.000,0.021,0.666,0.908,3187,0.3504,0.6612,0.0072,1,0.0,0.633,0.00049,0.0,0.00070,12958.4,1.9,3.1,7556.427,3.541,10776.547,0.048,0.037,11.957,6006.085,2.203,4.072,31.146,0.990,3.699,0.393,0.785,0.03428,0.00094,
0.00,10814.870,2.142,18.140,0.007251,185.2,5820.0,15000.0,185.237,4.655,0.017,1.979,1.060,3318,0.3504,0.6518,0.0071,1,0.0,0.320,0.00048,0.0,0.00069,14215.8,2.0,3.4,7720.235,3.621,11011.368,0.047,0.039,10.417,6512.604,1.991,3.476,28.904,0.886,3.562,0.574,1.049,0.03188,0.00093,
28800.00,6087.861,-1.132,7.234,0.007314,84.1,4307.4,11742.5,84.093,0.177,0.014,1.381,1.086,3318,0.3504,0.6518,0.0071,1,0.0,0.320,0.00048,0.0,0.00069,14215.8,2.0,3.4,7720.235,3.621,11011.368,0.047,0.039,10.417,6512.604,1.991,3.476,28.904,0.886,3.562,0.574,1.049,0.03188,0.00093,
28805.00,5202.418,-1.553,5.778,0.007410,79.2,4098.1,11393.2,79.173,0.000,0.015,1.151,1.118,3318,0.3504,0.6518,0.0071,1,0.0,0.320,0.00048,0.0,0.00069,14215.8,2.0,3.4,7720.235,3.621,11011.368,0.047,0.039,10.417,6512.604,1.991,3.476,28.904,0.886,3.562,0.574,1.049,0.03188,0.00093,
28810.00,4083.549,-2.021,4.252,0.007552,75.4,3881.3,11044.8,75.442,0.000,0.018,0.937,1.181,3318,0.3504,0.6518,0.0071,1,0.0,0.320,0.00048,0.0,0.00069,14215.8,2.0,3.4,7720.235,3.621,11011.368,0.047,0.039,10.417,6512.604,1.991,3.476,28.904,0.886,3.562,0.574,1.049,0.03188,0.00093,
28815.00,3179.642,-2.514,2.776,0.008184,70.4,3657.5,10696.4,70.415,0.000,0.022,0.617,1.435,3318,0.3504,0.6518,0.0071,1,0.0,0.320,0.00048,0.0,0.00069,14215.8,2.0,3.4,7720.235,3.621,11011.368,0.047,0.039,10.417,6512.604,1.991,3.476,28.904,0.886,3.562,0.574,1.049,0.03188,0.00093,
28820.00,2324.364,-2.958,1.031,0.009425,56.9,3427.7,10348.0,56.901,0.000,0.024,0.041,1.935,3318,0.3504,0.6518,0.0071,1,0.0,0.320,0.00048,0.0,0.00069,14215.8,2.0,3.4,7720.235,3.621,11011.368,0.047,0.039,10.417,6512.604,1.991,3.476,28.904,0.886,3.562,0.574,1.049,0.03188,0.00093,
0.00,9679.318,4.360,18.976,0.007995,165.8,5939.1,15000.0,165.788,3.292,0.017,2.052,1.253,3566,0.3465,0.6676,0.0073,1,0.0,1.109,0.00049,0.0,0.00077,10426.0,1.8,3.6,7768.275,3.768,10973.913,0.048,0.044,11.048,6243.226,2.158,3.764,48.056,1.024,3.657,0.383,1.251,0.03359,0.00094,
28800.00,5806.240,-0.692,8.495,0.008163,112.1,4606.1,12125.8,112.081,1.168,0.019,0.785,1.320,3566,0.3465,0.6676,0.0073,1,0.0,1.109,0.00049,0.0,0.00077,10426.0,1.8,3.6,7768.275,3.768,10973.913,0.048,0.044,11.048,6243.226,2.158,3.764,48.056,1.024,3.657,0.383,1.251,0.03359,0.00094,
28805.00,4801.557,-1.327,6.873,0.008265,109.7,4397.1,11775.5,109.683,1.049,0.023,0.676,1.365,3566,0.3465,0.6676,0.0073,1,0.0,1.109,0.00049,0.0,0.00077,10426.0,1.8,3.6,7768.275,3.768,10973.913,0.048,0.044,11.048,6243.226,2.158,3.764,48.056,1.024,3.657,0.383,1.251,0.03359,0.00094,
28810.00,3984.677,-1.939,5.353,0.008727,105.4,4178.9,11425.8,105.389,0.791,0.026,0.491,1.545,3566,0.3465,0.6676,0.0073,1,0.0,1.109,0.00049,0.0,0.00077,10426.0,1.8,3.6,7768.275,3.768,10973.913,0.048,0.044,11.048,6243.226,2.158,3.764,48.056,1.024,3.657,0.383,1.251,0.03359,0.00094,
28815.00,3095.621,-2.538,3.759,0.009706,100.7,3952.8,11077.4,100.746,0.516,0.033,0.317,1.934,3566,0.3465,0.6676,0.0073,1,0.0,1.109,0.00049,0.0,0.00077,10426.0,1.8,3.6,7768.275,3.768,10973.913,0.048,0.044,11.048,6243.226,2.158,3.764,48.056,1.024,3.657,0.383,1.251,0.03359,0.00094,
28820.00,2237.441,-2.934,1.631,0.010561,73.5,3720.0,10730.4,73.525,0.000,0.033,0.000,2.275,3566,0.3465,0.6676,0.0073,1,0.0,1.109,0.00049,0.0,0.00077,10426.0,1.8,3.6,7768.275,3.768,10973.913,0.048,0.044,11.048,6243.226,2.158,3.764,48.056,1.024,3.657,0.383,1.251,0.03359,0.00094,
0.00,9905.865,0.817,15.447,0.006615,169.7,5652.6,15000.0,169.668,3.930,0.017,1.999,1.127,3317,0.3476,0.6374,0.0064,1,0.0,1.048,0.00047,0.0,0.00065,14203.6,1.9,3.8,7596.331,3.710,11248.944,0.049,0.061,11.679,5194.248,2.032,3.517,33.897,1.021,3.498,0.419,1.123,0.03158,0.00094,
28800.00,4814.268,-1.650,6.261,0.006645,107.5,4259.6,12014.4,107.467,1.189,0.022,1.423,1.137,3317,0.3476,0.6374,0.0064,1,0.0,1.048,0.00047,0.0,0.00065,14203.6,1.9,3.8,7596.331,3.710,11248.944,0.049,0.061,11.679,5194.248,2.032,3.517,33.897,1.021,3.498,0.419,1.123,0.03158,0.00094,
28805.00,4090.282,-1.964,4.949,0.006730,97.3,4052.8,11663.7,97.327,0.726,0.024,0.968,1.175,3317,0.3476,0.6374,0.0064,1,0.0,1.048,0.00047,0.0,0.00065,14203.6,1.9,3.8,7596.331,3.710,11248.944,0.049,0.061,11.679,5194.248,2.032,3.517,33.897,1.021,3.498,0.419,1.123,0.03158,0.00094,
28810.00,3090.962,-2.359,3.567,0.006832,94.1,3839.6,11315.3,94.128,0.570,0.030,0.791,1.223,3317,0.3476,0.6374,0.0064,1,0.0,1.048,0.00047,0.0,0.00065,14203.6,1.9,3.8,7596.331,3.710,11248.944,0.049,0.061,11.679,5194.248,2.032,3.517,33.897,1.021,3.498,0.419,1.123,0.03158,0.00094,
28815.00,2381.272,-2.779,2.262,0.007478,88.6,3619.9,10967.7,88.575,0.280,0.037,0.481,1.513,3317,0.3476,0.6374,0.0064,1,0.0,1.048,0.00047,0.0,0.00065,14203.6,1.9,3.8,7596.331,3.710,11248.944,0.049,0.061,11.679,5194.248,2.032,3.517,33.897,1.021,3.498,0.419,1.123,0.03158,0.00094,
28820.00,1713.583,-3.178,0.693,0.008887,71.4,3395.4,10621.5,71.404,0.000,0.042,0.009,2.144,3317,0.3476,0.6374,0.0064,1,0.0,1.048,0.00047,0.0,0.00065,14203.6,1.9,3.8,7596.331,3.710,11248.944,0.049,0.061,11.679,5194.248,2.032,3.517,33.897,1.021,3.498,0.419,1.123,0.03158,0.00094,
0.00,9669.399,1.452,16.084,0.007598,165.6,5681.5,15000.0,165.618,4.336,0.017,2.177,1.000,3565,0.3487,0.6532,0.0076,1,0.0,0.564,0.00049,0.0,0.00083,12305.7,1.9,3.5,7644.371,3.651,11211.489,0.051,0.047,9.298,6484.070,2.198,4.341,36.393,1.017,3.338,0.456,0.995,0.03328,0.00094,
28800.00,5838.578,-1.077,7.474,0.007657,94.8,4540.6,12442.9,94.846,0.735,0.016,1.438,1.016,3565,0.3487,0.6532,0.0076,1,0.0,0.564,0.00049,0.0,0.00083,12305.7,1.9,3.5,7644.371,3.651,11211.489,0.051,0.047,9.298,6484.070,2.198,4.341,36.393,1.017,3.338,0.456,0.995,0.03328,0.00094,
28805.00,4934.337,-1.510,6.039,0.007725,88.9,4346.4,12092.0,88.928,0.431,0.018,1.088,1.047,3565,0.3487,0.6532,0.0076,1,0.0,0.564,0.00049,0.0,0.00083,12305.7,1.9,3.5,7644.371,3.651,11211.489,0.051,0.047,9.298,6484.070,2.198,4.341,36.393,1.017,3.338,0.456,0.995,0.03328,0.00094,
28810.00,3902.849,-1.980,4.562,0.007868,85.4,4144.4,11742.7,85.379,0.247,0.022,0.848,1.108,3565,0.3487,0.6532,0.0076,1,0.0,0.564,0.00049,0.0,0.00083,12305.7,1.9,3.5,7644.371,3.651,11211.489,0.051,0.047,9.298,6484.070,2.198,4.341,36.393,1.017,3.338,0.456,0.995,0.03328,0.00094,
28815.00,3098.171,-2.472,3.150,0.008505,81.0,3935.0,11394.3,80.981,0.037,0.026,0.554,1.343,3565,0.3487,0.6532,0.0076,1,0.0,0.564,0.00049,0.0,0.00083,12305.7,1.9,3.5,7644.371,3.651,11211.489,0.051,0.047,9.298,6484.070,2.198,4.341,36.393,1.017,3.338,0.456,0.995,0.03328,0.00094,
28820.00,2264.979,-2.991,1.580,0.010231,71.9,3719.0,11046.9,71.885,0.000,0.032,0.131,1.996,3565,0.3487,0.6532,0.0076,1,0.0,0.564,0.00049,0.0,0.00083,12305.7,1.9,3.5,7644.371,3.651,11211.489,0.051,0.047,9.298,6484.070,2.198,4.341,36.393,1.017,3.338,0.456,0.995,0.03328,0.00094,
0.00,9559.626,1.546,16.238,0.007145,163.7,5643.9,15000.0,163.737,3.863,0.017,2.143,0.978,3371,0.3515,0.6185,0.0074,1,0.0,0.514,0.00049,0.0,0.00080,13679.2,2.0,3.6,7465.913,3.620,10976.218,0.045,0.053,9.605,6019.560,2.213,3.803,42.237,0.981,3.515,0.480,0.973,0.03566,0.00092,
28800.00,5533.793,-1.151,7.268,0.007269,93.4,4371.2,12074.8,93.371,0.588,0.017,1.081,1.027,3371,0.3515,0.6185,0.0074,1,0.0,0.514,0.00049,0.0,0.00080,13679.2,2.0,3.6,7465.913,3.620,10976.218,0.045,0.053,9.605,6019.560,2.213,3.803,42.237,0.981,3.515,0.480,0.973,0.03566,0.00092,
28805.00,4611.282,-1.592,5.929,0.007364,90.1,4176.4,11724.4,90.142,0.431,0.020,0.913,1.066,3371,0.3515,0.6185,0.0074,1,0.0,0.514,0.00049,0.0,0.00080,13679.2,2.0,3.6,7465.913,3.620,10976.218,0.045,0.053,9.605,6019.560,2.213,3.803,42.237,0.981,3.515,0.480,0.973,0.03566,0.00092,
28810.00,3779.968,-2.027,4.593,0.007624,86.6,3973.7,11374.8,86.555,0.255,0.023,0.722,1.161,3371,0.3515,0.6185,0.0074,1,0.0,0.514,0.00049,0.0,0.00080,13679.2,2.0,3.6,7465.913,3.620,10976.218,0.045,0.053,9.605,6019.560,2.213,3.803,42.237,0.981,3.515,0.480,0.973,0.03566,0.00092,
28815.00,2981.465,-2.488,3.243,0.008265,82.4,3763.6,11026.1,82.447,0.078,0.028,0.513,1.406,3371,0.3515,0.6185,0.0074,1,0.0,0.514,0.00049,0.0,0.00080,13679.2,2.0,3.6,7465.913,3.620,10976.218,0.045,0.053,9.605,6019.560,2.213,3.803,42.237,0.981,3.515,0.480,0.973,0.03566,0.00092,
28820.00,2239.067,-2.932,1.705,0.009691,71.5,3547.2,10678.3,71.485,0.000,0.032,0.120,1.947,3371,0.3515,0.6185,0.0074,1,0.0,0.514,0.00049,0.0,0.00080,13679.2,2.0,3.6,7465.913,3.620,10976.218,0.045,0.053,9.605,6019.560,2.213,3.803,42.237,0.981,3.515,0.480,0.973,0.03566,0.00092,
0.00,6551.584,12.140,21.582,0.007427,112.2,6029.2,15000.0,112.216,1.742,0.017,1.863,0.864,3123,0.3476,0.6803,0.0076,1,0.0,0.878,0.00051,0.0,0.00068,11781.2,1.8,3.5,7733.937,3.664,10626.277,0.046,0.044,10.236,5750.182,2.380,3.556,36.406,0.978,3.611,0.630,0.845,0.02994,0.00093,
28800.00,5588.022,2.813,10.979,0.007527,96.6,4581.8,11768.1,96.571,0.858,0.017,1.393,0.898,3123,0.3476,0.6803,0.0076,1,0.0,0.878,0.00051,0.0,0.00068,11781.2,1.8,3.5,7733.937,3.664,10626.277,0.046,0.044,10.236,5750.182,2.380,3.556,36.406,0.978,3.611,0.630,0.845,0.02994,0.00093,
28805.00,5254.642,1.745,9.466,0.007572,94.7,4373.3,11418.2,94.703,0.747,0.018,1.294,0.913,3123,0.3476,0.6803,0.0076,1,0.0,0.878,0.00051,0.0,0.00068,11781.2,1.8,3.5,7733.937,3.664,10626.277,0.046,0.044,10.236,5750.182,2.380,3.556,36.406,0.978,3.611,0.630,0.845,0.02994,0.00093,
28810.00,4815.026,0.676,7.908,0.007660,92.4,4155.6,11068.9,92.440,0.610,0.019,1.166,0.941,3123,0.3476,0.6803,0.0076,1,0.0,0.878,0.00051,0.0,0.00068,11781.2,1.8,3.5,7733.937,3.664,10626.277,0.046,0.044,10.236,5750.182,2.380,3.556,36.406,0.978,3.611,0.630,0.845,0.02994,0.00093,
28815.00,4190.495,-0.368,6.292,0.007806,89.7,3929.3,10720.2,89.740,0.451,0.021,1.003,0.998,3123,0.3476,0.6803,0.0076,1,0.0,0.878,0.00051,0.0,0.00068,11781.2,1.8,3.5,7733.937,3.664,10626.277,0.046,0.044,10.236,5750.182,2.380,3.556,36.406,0.978,3.611,0.630,0.845,0.02994,0.00093,
28820.00,3469.653,-1.259,4.611,0.008053,87.0,3695.7,10372.4,87.039,0.298,0.025,0.836,1.104,3123,0.3476,0.6803,0.0076,1,0.0,0.878,0.00051,0.0,0.00068,11781.2,1.8,3.5,7733.937,3.664,10626.277,0.046,0.044,10.236,5750.182,2.380,3.556,36.406,0.978,3.611,0.630,0.845,0.02994,0.00093,
0.00,5835.049,5.379,14.452,0.006449,99.9,5611.5,15000.0,99.943,1.851,0.017,1.176,0.507,3370,0.3537,0.6500,0.0078,1,0.0,1.242,0.00049,0.0,0.00076,11775.1,2.0,3.2,7781.976,3.606,11526.280,0.048,0.049,10.867,7040.003,2.254,3.308,38.903,0.974,3.451,0.666,0.387,0.03536,0.00094,
28800.00,6382.392,20.232,28.128,0.006445,52.0,7734.9,47437.8,51.988,0.000,0.008,1.134,0.521,3370,0.3537,0.6500,0.0078,1,0.0,1.242,0.00049,0.0,0.00076,11775.1,2.0,3.2,7781.976,3.606,11526.280,0.048,0.049,10.867,7040.003,2.254,3.308,38.903,0.974,3.451,0.666,0.387,0.03536,0.00094,
28805.00,6382.392,20.232,28.120,0.006445,52.0,7733.6,47094.0,51.961,0.000,0.008,1.133,0.521,3370,0.3537,0.6500,0.0078,1,0.0,1.242,0.00049,0.0,0.00076,11775.1,2.0,3.2,7781.976,3.606,11526.280,0.048,0.049,10.867,7040.003,2.254,3.308,38.903,0.974,3.451,0.666,0.387,0.03536,0.00094,
28810.00,6382.392,20.232,28.111,0.006445,51.9,7732.4,46750.2,51.933,0.000,0.008,1.132,0.522,3370,0.3537,0.6500,0.0078,1,0.0,1.242,0.00049,0.0,0.00076,11775.1,2.0,3.2,7781.976,3.606,11526.280,0.048,0.049,10.867,7040.003,2.254,3.308,38.903,0.974,3.451,0.666,0.387,0.03536,0.00094,
28815.00,6435.347,20.232,28.154,0.006456,52.8,7731.0,46406.4,52.771,0.000,0.008,1.172,0.508,3370,0.3537,0.6500,0.0078,1,0.0,1.242,0.00049,0.0,0.00076,11775.1,2.0,3.2,7781.976,3.606,11526.280,0.048,0.049,10.867,7040.003,2.254,3.308,38.903,0.974,3.451,0.666,0.387,0.03536,0.00094,
28820.00,6435.347,20.232,28.145,0.006456,52.8,7729.7,46062.6,52.750,0.000,0.008,1.171,0.509,3370,0.3537,0.6500,0.0078,1,0.0,1.242,0.00049,0.0,0.00076,11775.1,2.0,3.2,7781.976,3.606,11526.280,0.048,0.049,10.867,7040.003,2.254,3.308,38.903,0.974,3.451,0.666,0.387,0.03536,0.00094,
0.00,8216.685,0.478,12.859,0.006678,140.7,5790.8,15000.0,140.736,3.193,0.017,1.683,0.930,3865,0.3448,0.6428,0.0069,1,0.0,0.757,0.00047,0.0,0.00074,13660.8,1.8,3.4,7830.016,3.547,11176.339,0.049,0.040,11.499,5991.025,1.835,3.597,41.399,1.042,3.547,0.475,0.919,0.03335,0.00093,
